cell_type_name,CO_id,Ass.Ontology
Basal.cell.of.bladder,CL0000646,basal cell
Adrenal.gland.cell,CL1001601,adrenal gland glandular cell
Leyding.cell,CL0000178,Leydig cell
TFF1.Ductal.cell,CL0002079,pancreatic ductal cell
Lymphoid.pre-pDC.cell,CL0000838,lymphoid lineage restricted progenitor cell
Double.positive.T.cell,CL0000809,"double-positive, alpha-beta thymocyte"
PDGFRA+BMP4+.Fibroblast,CL0000057,fibroblast
Epsilon.cell,CL0005019,pancreatic epsilon cell
Proliferation.hofbauer.cell,CL3000001,Hofbauer cell
Red.blood.cell,CL0002355,primitive red blood cell
Granulosa.cell.HPA,CL0000501,granulosa cell
B.cell,CL0000236,B cell
Intestinal.neuron,CL0000540,neuron
TCIM+NRG1+Fibroblast,CL0000057,fibroblast
Neutrophil.granulocyte.cell,CL0000775,neutrophil
CXCL+Fibroblast,CL0000057,fibroblast
Oligodendrocyte.precursor.cell.HPA,CL0002453,oligodendrocyte precursor cell
ADAMDEC1+CXCL14+.Fibroblast,CL0000057,fibroblast
Renal.epithelial.cell.-.distal.tubules,CL1000849,kidney distal convoluted tubule epithelial cell
Pulmonary.alveolar.type.2.cell,CL0002063,pulmonary alveolar type 2 cell
Slow-twitch.skeletal.muscle.cell,CL0000189,slow muscle cell
Alveolar.macrophage,CL0000583,alveolar macrophage
KRT12_ECM1.Basal.cell,CL0000646,basal cell
Paneth.cell,CL0000510,paneth cell
Elongated.spermatid,CL0000018,spermatid
Lymphatic.endothelial.cell,CL0002138,endothelial cell of lymphatic vessel
Microglia,CL0000129,microglial cell
Fetal.ventricular.cardiomyocyte,CL0002495,fetal cardiomyocyte
ITGAX+.Macrophage,CL0000235,macrophage
Placenta.CAMP+.antimicrobial.monocyte,CL0000875,non-classical monocyte
Megakaryocyte,CL0000556,megakaryocyte
Enterocyte,CL0000584,enterocyte
COCH.Fibroblast,CL0000057,fibroblast
Langerhans.cell.HPA,CL0000453,Langerhans cell
Proliferating.differentiating.T.cell,CL4033069,cycling T cell
Intestinal.fibroblast,CL4052007,subepithelial intestinal fibroblast
Cardiomyocyte.HPA,CL0002494,cardiocyte
Supporting-like.PAX8+.cell,CL0000630,supporting cell
Club.cell,CL0000158,club cell
Late.spermatids.HPA,CL0000018,spermatid
Spermatocyte.HPA,CL0000017,spermatocyte
Ovarian.stromal.cell.HPA,CL0002132,stromal cell of ovary
Podocyte,CL0000653,podocyte
Goblet.cell,CL0000160,goblet cell
Macrophage.HPA,CL0000235,macrophage
Plasma.cell,CL0000786,plasma cell
Exocrine.gladular.cell.HPA,CL1001599,pancreas exocrine glandular cell
MMP1.Fibroblast,CL0000057,fibroblast
B.cell.HPA,CL0000236,B cell
Delta.cell,CL0000173,pancreatic D cell
Placenta.defensin+.antimicrobial.monocyte,CL0000875,non-classical monocyte
Renal.epithelial.proximal.tubules.cell,CL0002306,epithelial cell of proximal tubule
Thymic.epithelial.cell,CL0002293,epithelial cell of thymus
Megakaryocyte.progenitor,CL0000553,megakaryocyte progenitor cell
Elongating.spermatid,CL0000018,spermatid
Early.SOX4+Erythroblast,CL0000765,erythroblast
Sertoli.cell.HPA,CL0000216,Sertoli cell
Mesenchymal.stromal.cell,CL0008019,mesenchymal cell
Luminal.epithelial.cell,CL0000066,epithelial cell
FBLN2+APOD+Fibroblast,CL0000057,fibroblast
Glia.progenitor.cycling,CL0000125,glial cell
Mesothelial.cell.HPA,CL0000077,mesothelial cell
Chief.cell,CL0000446,chief cell of parathyroid gland
Salivary.duct.cell.HPA,CL0009005,salivary gland cell
Ductal.cell.HPA,CL0002079,pancreatic ductal cell
FRZB.Fibroblast,CL0000057,fibroblast
Oligodendrocyte,CL0000128,oligodendrocyte
Peritubular.myoid.cell,CL0002481,peritubular myoid cell
Breast.basal.cell,CL0000646,basal cell
Dark.light.zone.GC.B.cell,CL0000236,B cell
CXCL13.Fibroblast,CL0000057,fibroblast
Horizontal.cell,CL0000745,retina horizontal cell
INSL3+Leyding.cell,CL0000178,Leydig cell
Lactocyte,CL0002325,lactocyte
Breast.milk.macrophage,CL0000235,macrophage
Adipocyte,CL0000136,adipocyte
Cholangiocyte.HPA,CL1000488,cholangiocyte
Endometrial.stromal.cell.HPA,CL0002255,stromal cell of endometrium
Proliferating.endothelial.cell,CL0000115,endothelial cell
Granulocyte.HPA,CL0000094,granulocyte
Granulosa.cell,CL0000501,granulosa cell
Alveolar.cells.type.1.HPA,CL0002062,pulmonary alveolar type 1 cell
Gastric.mucus-secreting.cell.HPA,CL0000319,mucus secreting cell
Spermatogonium,CL0000020,spermatogonium
CXCL14+POSTN+.Fibroblast,CL0000057,fibroblast
IGFBP1.Fibroblast,CL0000057,fibroblast
TFF+.Cholangiocyte,CL1000488,cholangiocyte
SCGB2A1+.Endocrine.cell,CL0000163,endocrine cell
Contractile.pericyte.cell,CL0000669,pericyte
Renal.epithelial.cell.-.loop.of.Henle,CL1000909,kidney loop of Henle epithelial cell
Pericyte,CL0000669,pericyte
PEAP.endometrium.cell,CL0002255,stromal cell of endometrium
Inhibitory.neuron.HPA,CL0000498,inhibitory interneuron
Retinal.pigment.epithelial.cell,CL0002586,retinal pigment epithelial cell
Peritubular.cell.HPA,CL0002481,peritubular myoid cell
